provider,source_interface_id,doc_api,label,level1,level2,level3,level4,doc_url,storage_mode,split_by_symbol,access_status,access_reason,completeness_status,check_confidence
tushare,cyq_perf,cyq_perf,每日筹码及胜率,股票数据,特色数据,每日筹码及胜率,,https://tushare.pro/document/2?doc_id=293,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,hsgt_hold_top10,hk_hold,沪深股通持股明细,股票数据,特色数据,沪深股通持股明细,,https://tushare.pro/document/2?doc_id=188,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,report_rc,report_rc,券商盈利预测数据,股票数据,特色数据,券商盈利预测数据,,https://tushare.pro/document/2?doc_id=292,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,stk_ah_comparison,stk_ah_comparison,AH股比价,股票数据,特色数据,AH股比价,,https://tushare.pro/document/2?doc_id=399,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,stk_factor_pro,stk_factor_pro,股票技术面因子(专业版）,股票数据,特色数据,股票技术面因子(专业版）,,https://tushare.pro/document/2?doc_id=328,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,stk_nineturn,stk_nineturn,神奇九转指标,股票数据,特色数据,神奇九转指标,,https://tushare.pro/document/2?doc_id=364,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,stk_surv,stk_surv,机构调研数据,股票数据,特色数据,机构调研数据,,https://tushare.pro/document/2?doc_id=275,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,bak_daily,bak_daily,备用行情,股票数据,行情数据,备用行情,,https://tushare.pro/document/2?doc_id=255,by_symbol,true,available,available_nonempty,未见明显遗漏,medium
tushare,daily,daily,历史日线,股票数据,行情数据,历史日线,,https://tushare.pro/document/2?doc_id=27,by_symbol,true,available,confirmed_by_raw_fetch,未见明显遗漏,medium
tushare,daily_basic,daily_basic,每日指标,股票数据,行情数据,每日指标,,https://tushare.pro/document/2?doc_id=32,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,ggt_daily,ggt_daily,港股通每日成交统计,股票数据,行情数据,港股通每日成交统计,,https://tushare.pro/document/2?doc_id=196,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,ggt_monthly,ggt_monthly,港股通每月成交统计,股票数据,行情数据,港股通每月成交统计,,https://tushare.pro/document/2?doc_id=197,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,hsgt_top10,hsgt_top10,沪深股通十大成交股,股票数据,行情数据,沪深股通十大成交股,,https://tushare.pro/document/2?doc_id=48,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,monthly,monthly,月线行情,股票数据,行情数据,月线行情,,https://tushare.pro/document/2?doc_id=145,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,stk_limit,stk_limit,每日涨跌停价格,股票数据,行情数据,每日涨跌停价格,,https://tushare.pro/document/2?doc_id=183,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,weekly,weekly,周线行情,股票数据,行情数据,周线行情,,https://tushare.pro/document/2?doc_id=144,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,disclosure_date,disclosure_date,财报披露日期表,股票数据,财务数据,财报披露日期表,,https://tushare.pro/document/2?doc_id=162,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,dividend,dividend,分红送股数据,股票数据,财务数据,分红送股数据,,https://tushare.pro/document/2?doc_id=103,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,express,express,业绩快报,股票数据,财务数据,业绩快报,,https://tushare.pro/document/2?doc_id=46,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,fina_mainbz,fina_mainbz,主营业务构成,股票数据,财务数据,主营业务构成,,https://tushare.pro/document/2?doc_id=81,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,forecast,forecast,业绩预告,股票数据,财务数据,业绩预告,,https://tushare.pro/document/2?doc_id=45,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,moneyflow,moneyflow,个股资金流向,股票数据,资金流向数据,个股资金流向,,https://tushare.pro/document/2?doc_id=170,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,moneyflow_cnt_ths,moneyflow_cnt_ths,板块资金流向（THS),股票数据,资金流向数据,板块资金流向（THS),,https://tushare.pro/document/2?doc_id=371,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,moneyflow_dc,moneyflow_dc,个股资金流向（DC）,股票数据,资金流向数据,个股资金流向（DC）,,https://tushare.pro/document/2?doc_id=349,by_symbol,true,available,points_within_account,未见明显遗漏,medium
tushare,moneyflow_hsgt,moneyflow_hsgt,沪深港通资金流向,股票数据,资金流向数据,沪深港通资金流向,,https://tushare.pro/document/2?doc_id=47,all_csv,false,available,available_nonempty,未见明显遗漏,medium
tushare,moneyflow_ind_ths,moneyflow_ind_ths,行业资金流向（THS）,股票数据,资金流向数据,行业资金流向（THS）,,https://tushare.pro/document/2?doc_id=343,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,moneyflow_mkt_dc,moneyflow_mkt_dc,大盘资金流向（DC）,股票数据,资金流向数据,大盘资金流向（DC）,,https://tushare.pro/document/2?doc_id=345,all_csv,false,available,points_within_account,未见明显遗漏,medium
tushare,moneyflow_ths,moneyflow_ths,个股资金流向（THS）,股票数据,资金流向数据,个股资金流向（THS）,,https://tushare.pro/document/2?doc_id=348,by_symbol,true,available,points_within_account,未见明显遗漏,medium
